id;parcela;syst;especie;abundancia;flowering_indicator;month
angela;1;AFS;Annona_muc;9;0;Apr
angela;4;AFS;Annona_muc;1;0;Apr
gaucho;1;AFS;Annona_muc;4;0;Apr
gaucho;3;AFS;Annona_muc;1;0;Apr
ataliba;1;AFS;Artocarpus_het;1;0;Apr
ataliba;2;AFS;Artocarpus_het;2;0;Apr
ataliba;3;AFS;Artocarpus_het;3;0;Apr
ataliba;4;AFS;Artocarpus_het;2;0;Apr
cecilia_g;1;AFS;Artocarpus_het;1;0;Apr
cecilia_g;3;AFS;Artocarpus_het;1;0;Apr
angela;1;AFS;Bactris_gas;9;0;Apr
angela;2;AFS;Bactris_gas;9;0;Apr
angela;3;AFS;Bactris_gas;5;0;Apr
angela;4;AFS;Bactris_gas;2;0;Apr
ataliba;1;AFS;Bactris_gas;4;0;Apr
ataliba;3;AFS;Bactris_gas;1;0;Apr
ataliba;4;AFS;Bactris_gas;3;0;Apr
cecilia_g;2;AFS;Bactris_gas;2;0;Apr
cecilia_g;3;AFS;Bactris_gas;1;0;Apr
cecilia_g;4;AFS;Bactris_gas;2;0;Apr
joao;1;AFS;Bactris_gas;3;0;Apr
joao;2;AFS;Bactris_gas;7;0;Apr
joao;3;AFS;Bactris_gas;8;0;Apr
joao;4;AFS;Bactris_gas;2;0;Apr
neinha;1;AFS;Bactris_gas;3;0;Apr
neinha;2;AFS;Bactris_gas;1;0;Apr
neinha;3;AFS;Bactris_gas;12;0;Apr
neinha;4;AFS;Bactris_gas;3;0;Apr
joao;1;AFS;Cecropia_hol;2;1;Apr
joao;3;AFS;Cecropia_hol;1;1;Apr
joao;4;AFS;Cecropia_hol;1;1;Apr
neinha;3;AFS;Cecropia_hol;1;1;Apr
neinha;4;AFS;Cecropia_hol;2;1;Apr
são_joao;2;RES;Ceiba_spe;1;1;Apr
cecilia;1;AFS;Citrus_ret;3;1;Apr
cecilia;2;AFS;Citrus_ret;5;1;Apr
cecilia;3;AFS;Citrus_ret;7;1;Apr
cecilia;1;AFS;Citrus_sin;6;0;Apr
cecilia;4;AFS;Citrus_sin;5;0;Apr
são_joao;3;RES;Clitoria_fai;1;0;Apr
neinha;1;AFS;Cocos_nuc;1;1;Apr
neinha;2;AFS;Cocos_nuc;2;1;Apr
joao;1;AFS;Cupania_ver;3;0;Apr
joao;2;AFS;Cupania_ver;2;0;Apr
joao;3;AFS;Cupania_ver;2;0;Apr
joao;4;AFS;Cupania_ver;2;0;Apr
neinha;3;AFS;Cupania_ver;2;0;Apr
neinha;4;AFS;Cupania_ver;2;0;Apr
ataliba;1;AFS;Euterpe_edu;1;0;Apr
ataliba;2;AFS;Euterpe_edu;4;0;Apr
ataliba;3;AFS;Euterpe_edu;1;0;Apr
ataliba;2;AFS;guarea_gui;4;0;Apr
ataliba;3;AFS;guarea_gui;1;0;Apr
ataliba;4;AFS;guarea_gui;1;0;Apr
poco_12;1;RES;guarea_gui;7;0;Apr
poco_12;2;RES;guarea_gui;3;0;Apr
poco_12;3;RES;guarea_gui;6;0;Apr
poco_12;4;RES;guarea_gui;7;0;Apr
vendaval;4;RES;guarea_gui;3;0;Apr
angela;1;AFS;Inga_edu;7;0;Apr
angela;2;AFS;Inga_edu;5;0;Apr
angela;3;AFS;Inga_edu;1;0;Apr
angela;4;AFS;Inga_edu;1;0;Apr
cecilia;1;AFS;Inga_edu;5;0;Apr
cecilia;2;AFS;Inga_edu;4;0;Apr
cecilia;3;AFS;Inga_edu;2;0;Apr
cecilia;4;AFS;Inga_edu;4;0;Apr
cecilia;5;AFS;Inga_edu;3;0;Apr
cecilia;6;AFS;Inga_edu;4;0;Apr
mico;2;RES;Inga_edu;2;0;Apr
mico;4;RES;Inga_edu;1;0;Apr
vendaval;1;RES;Inga_edu;1;0;Apr
vendaval;2;RES;Inga_edu;4;0;Apr
vendaval;3;RES;Inga_edu;1;0;Apr
vendaval;4;RES;Inga_edu;1;0;Apr
ataliba;1;AFS;Inga_lau;2;1;Apr
ataliba;2;AFS;Inga_lau;1;1;Apr
ataliba;3;AFS;Inga_lau;1;1;Apr
ataliba;4;AFS;Inga_lau;1;1;Apr
cecilia;3;AFS;Inga_lau;3;1;Apr
cecilia;4;AFS;Inga_lau;1;1;Apr
cecilia;5;AFS;Inga_lau;1;1;Apr
gaucho;2;AFS;Inga_lau;1;1;Apr
gaucho;3;AFS;Inga_lau;1;1;Apr
gaucho;4;AFS;Inga_lau;5;1;Apr
graca;4;AFS;Inga_lau;1;1;Apr
vendaval;1;RES;Inga_lau;2;1;Apr
vendaval;2;RES;Inga_lau;4;1;Apr
vendaval;3;RES;Inga_lau;2;1;Apr
vendaval;4;RES;Inga_lau;1;1;Apr
cecilia;1;AFS;Inga_ver;4;1;Apr
cecilia;2;AFS;Inga_ver;2;1;Apr
cecilia;3;AFS;Inga_ver;3;1;Apr
cecilia;4;AFS;Inga_ver;3;1;Apr
cecilia;5;AFS;Inga_ver;2;1;Apr
cecilia;6;AFS;Inga_ver;2;1;Apr
cecilia_g;1;AFS;Inga_ver;1;1;Apr
cecilia_g;2;AFS;Inga_ver;4;1;Apr
cecilia_g;3;AFS;Inga_ver;3;1;Apr
joao;1;AFS;Luehea_div;1;1;Apr
joao;2;AFS;Luehea_div;2;1;Apr
poco_13;3;RES;Luehea_div;1;1;Apr
poco_13;4;RES;Luehea_div;2;1;Apr
ataliba;1;AFS;Mangifera_ind;3;0;Apr
ataliba;2;AFS;Mangifera_ind;2;0;Apr
ataliba;4;AFS;Mangifera_ind;1;0;Apr
neinha;1;AFS;Mangifera_ind;1;0;Apr
neinha;2;AFS;Miconia_pra;6;0;Apr
neinha;3;AFS;Miconia_pra;6;0;Apr
neinha;4;AFS;Miconia_pra;4;0;Apr
angela;1;AFS;Musa_par;3;1;Apr
angela;2;AFS;Musa_par;4;1;Apr
angela;4;AFS;Musa_par;6;1;Apr
ataliba;1;AFS;Musa_par;1;1;Apr
ataliba;3;AFS;Musa_par;4;1;Apr
cecilia;1;AFS;Musa_par;1;1;Apr
cecilia;2;AFS;Musa_par;4;1;Apr
cecilia;3;AFS;Musa_par;3;1;Apr
cecilia;4;AFS;Musa_par;4;1;Apr
cecilia;5;AFS;Musa_par;3;1;Apr
cecilia;6;AFS;Musa_par;8;1;Apr
cecilia_g;1;AFS;Musa_par;3;1;Apr
cecilia_g;3;AFS;Musa_par;3;1;Apr
cecilia_g;4;AFS;Musa_par;1;1;Apr
graca;2;AFS;Musa_par;2;1;Apr
graca;3;AFS;Musa_par;2;1;Apr
bom_retiro;1;RES;Myrciaria_ten;1;0;Apr
bom_retiro;2;RES;Myrciaria_ten;2;0;Apr
bom_retiro;3;RES;Myrciaria_ten;1;0;Apr
bom_retiro;4;RES;Myrciaria_ten;1;0;Apr
bom_retiro;1;RES;Ocotea_lax ;8;0;Apr
poco_12;2;RES;Ocotea_mac;1;0;Apr
poco_12;3;RES;Ocotea_mac;1;0;Apr
poco_12;4;RES;Ocotea_mac;2;0;Apr
gaucho;1;AFS;Persea_ame;5;1;Apr
gaucho;2;AFS;Persea_ame;8;1;Apr
b_esperanca;1;RES;Piptadenia_gon;2;0;Apr
gaucho;1;AFS;Piptadenia_gon;5;0;Apr
gaucho;2;AFS;Piptadenia_gon;7;0;Apr
gaucho;3;AFS;Piptadenia_gon;12;0;Apr
gaucho;4;AFS;Piptadenia_gon;9;0;Apr
mico;2;RES;Piptadenia_gon;1;0;Apr
são_joao;1;RES;Piptadenia_mac;2;0;Apr
bom_retiro;2;RES;Piptadenia_pan;5;0;Apr
bom_retiro;3;RES;Piptadenia_pan;3;0;Apr
bom_retiro;4;RES;Piptadenia_pan;3;0;Apr
b_esperanca;1;RES;Plathymenia_fol;1;0;Apr
b_esperanca;2;RES;Plathymenia_fol;1;0;Apr
poco_13;4;RES;Plathymenia_fol;1;0;Apr
cecilia_g;1;AFS;Psidium_gua;4;0;Apr
cecilia_g;2;AFS;Psidium_gua;3;0;Apr
cecilia_g;3;AFS;Psidium_gua;4;0;Apr
graca;1;AFS;Psidium_gua;2;0;Apr
graca;4;AFS;Psidium_gua;1;0;Apr
ataliba;2;AFS;Rapanea_fer;2;0;Apr
ataliba;4;AFS;Rapanea_fer;2;0;Apr
b_esperanca;1;RES;Rapanea_fer;3;0;Apr
b_esperanca;2;RES;Rapanea_fer;7;0;Apr
b_esperanca;3;RES;Rapanea_fer;4;0;Apr
b_esperanca;4;RES;Rapanea_fer;6;0;Apr
joao;1;AFS;Rapanea_fer;2;0;Apr
joao;2;AFS;Rapanea_fer;1;0;Apr
joao;3;AFS;Rapanea_fer;1;0;Apr
joao;4;AFS;Rapanea_fer;5;0;Apr
neinha;1;AFS;Rapanea_fer;1;0;Apr
neinha;2;AFS;Rapanea_fer;1;0;Apr
neinha;3;AFS;Rapanea_fer;1;0;Apr
neinha;4;AFS;Rapanea_fer;5;0;Apr
poco_16;3;RES;Rapanea_fer;4;0;Apr
poco_16;4;RES;Rapanea_fer;9;0;Apr
mico;1;RES;Schinus_ter;3;1;Apr
mico;2;RES;Schinus_ter;3;1;Apr
mico;4;RES;Schinus_ter;2;1;Apr
poco_13;3;RES;Schinus_ter;2;1;Apr
poco_13;4;RES;Schinus_ter;2;1;Apr
poco_16;1;RES;Schinus_ter;4;1;Apr
vendaval;3;RES;Schinus_ter;5;1;Apr
vendaval;4;RES;Schinus_ter;2;1;Apr
neinha;1;AFS;Sparattosperma_leu;1;0;Apr
neinha;3;AFS;Sparattosperma_leu;1;0;Apr
neinha;4;AFS;Sparattosperma_leu;1;0;Apr
são_joao;1;RES;Tecoma_sta;3;1;Apr
graca;1;AFS;Theobroma_cac;2;1;Apr
graca;2;AFS;Theobroma_cac;5;1;Apr
graca;3;AFS;Theobroma_cac;1;1;Apr
cecilia;1;AFS;Tibouchina_gra;1;0;Apr
cecilia;5;AFS;Tibouchina_gra;1;0;Apr
graca;1;AFS;Vachellia_far;1;0;Apr
graca;2;AFS;Vachellia_far;1;0;Apr
graca;3;AFS;Vachellia_far;2;0;Apr
graca;4;AFS;Vachellia_far;3;0;Apr
mico;1;RES;Vitex_meg;7;0;Apr
mico;2;RES;Vitex_meg;4;0;Apr
mico;3;RES;Vitex_meg;2;0;Apr
mico;4;RES;Vitex_meg;1;0;Apr
poco_12;2;RES;Vitex_meg;1;0;Apr
poco_13;3;RES;Vitex_meg;1;0;Apr
poco_13;4;RES;Vitex_meg;3;0;Apr
graca;4;AFS;Vochysia_div;3;0;Apr
poco_16;2;RES;Vochysia_div;5;0;Apr
angela;1;AFS;Annona_muc;9;0;Aug
angela;4;AFS;Annona_muc;1;0;Aug
gaucho;1;AFS;Annona_muc;4;0;Aug
gaucho;3;AFS;Annona_muc;1;0;Aug
ataliba;1;AFS;Artocarpus_het;1;0;Aug
ataliba;2;AFS;Artocarpus_het;2;0;Aug
ataliba;3;AFS;Artocarpus_het;3;0;Aug
ataliba;4;AFS;Artocarpus_het;2;0;Aug
cecilia_g;1;AFS;Artocarpus_het;1;0;Aug
cecilia_g;3;AFS;Artocarpus_het;1;0;Aug
angela;1;AFS;Bactris_gas;9;1;Aug
angela;2;AFS;Bactris_gas;9;1;Aug
angela;3;AFS;Bactris_gas;5;1;Aug
angela;4;AFS;Bactris_gas;2;1;Aug
ataliba;1;AFS;Bactris_gas;4;1;Aug
ataliba;3;AFS;Bactris_gas;1;1;Aug
ataliba;4;AFS;Bactris_gas;3;1;Aug
cecilia_g;2;AFS;Bactris_gas;2;1;Aug
cecilia_g;3;AFS;Bactris_gas;1;1;Aug
cecilia_g;4;AFS;Bactris_gas;2;1;Aug
joao;1;AFS;Bactris_gas;3;1;Aug
joao;2;AFS;Bactris_gas;7;1;Aug
joao;3;AFS;Bactris_gas;8;1;Aug
joao;4;AFS;Bactris_gas;2;1;Aug
neinha;1;AFS;Bactris_gas;3;1;Aug
neinha;2;AFS;Bactris_gas;1;1;Aug
neinha;3;AFS;Bactris_gas;12;1;Aug
neinha;4;AFS;Bactris_gas;3;1;Aug
joao;1;AFS;Cecropia_hol;2;1;Aug
joao;3;AFS;Cecropia_hol;1;1;Aug
joao;4;AFS;Cecropia_hol;1;1;Aug
neinha;3;AFS;Cecropia_hol;1;1;Aug
neinha;4;AFS;Cecropia_hol;2;1;Aug
são_joao;2;RES;Ceiba_spe;1;0;Aug
cecilia;1;AFS;Citrus_ret;3;0;Aug
cecilia;2;AFS;Citrus_ret;5;0;Aug
cecilia;3;AFS;Citrus_ret;7;0;Aug
cecilia;1;AFS;Citrus_sin;6;0;Aug
cecilia;4;AFS;Citrus_sin;5;0;Aug
são_joao;3;RES;Clitoria_fai;1;0;Aug
neinha;1;AFS;Cocos_nuc;1;0;Aug
neinha;2;AFS;Cocos_nuc;2;0;Aug
joao;1;AFS;Cupania_ver;3;0;Aug
joao;2;AFS;Cupania_ver;2;0;Aug
joao;3;AFS;Cupania_ver;2;0;Aug
joao;4;AFS;Cupania_ver;2;0;Aug
neinha;3;AFS;Cupania_ver;2;0;Aug
neinha;4;AFS;Cupania_ver;2;0;Aug
ataliba;1;AFS;Euterpe_edu;1;0;Aug
ataliba;2;AFS;Euterpe_edu;4;0;Aug
ataliba;3;AFS;Euterpe_edu;1;0;Aug
ataliba;2;AFS;guarea_gui;4;0;Aug
ataliba;3;AFS;guarea_gui;1;0;Aug
ataliba;4;AFS;guarea_gui;1;0;Aug
poco_12;1;RES;guarea_gui;7;0;Aug
poco_12;2;RES;guarea_gui;3;0;Aug
poco_12;3;RES;guarea_gui;6;0;Aug
poco_12;4;RES;guarea_gui;7;0;Aug
vendaval;4;RES;guarea_gui;3;0;Aug
angela;1;AFS;Inga_edu;7;0;Aug
angela;2;AFS;Inga_edu;5;0;Aug
angela;3;AFS;Inga_edu;1;0;Aug
angela;4;AFS;Inga_edu;1;0;Aug
cecilia;1;AFS;Inga_edu;5;0;Aug
cecilia;2;AFS;Inga_edu;4;0;Aug
cecilia;3;AFS;Inga_edu;2;0;Aug
cecilia;4;AFS;Inga_edu;4;0;Aug
cecilia;5;AFS;Inga_edu;3;0;Aug
cecilia;6;AFS;Inga_edu;4;0;Aug
mico;2;RES;Inga_edu;2;0;Aug
mico;4;RES;Inga_edu;1;0;Aug
vendaval;1;RES;Inga_edu;1;0;Aug
vendaval;2;RES;Inga_edu;4;0;Aug
vendaval;3;RES;Inga_edu;1;0;Aug
vendaval;4;RES;Inga_edu;1;0;Aug
ataliba;1;AFS;Inga_lau;2;0;Aug
ataliba;2;AFS;Inga_lau;1;0;Aug
ataliba;3;AFS;Inga_lau;1;0;Aug
ataliba;4;AFS;Inga_lau;1;0;Aug
cecilia;3;AFS;Inga_lau;3;0;Aug
cecilia;4;AFS;Inga_lau;1;0;Aug
cecilia;5;AFS;Inga_lau;1;0;Aug
gaucho;2;AFS;Inga_lau;1;0;Aug
gaucho;3;AFS;Inga_lau;1;0;Aug
gaucho;4;AFS;Inga_lau;5;0;Aug
graca;4;AFS;Inga_lau;1;0;Aug
vendaval;1;RES;Inga_lau;2;0;Aug
vendaval;2;RES;Inga_lau;4;0;Aug
vendaval;3;RES;Inga_lau;2;0;Aug
vendaval;4;RES;Inga_lau;1;0;Aug
cecilia;1;AFS;Inga_ver;4;0;Aug
cecilia;2;AFS;Inga_ver;2;0;Aug
cecilia;3;AFS;Inga_ver;3;0;Aug
cecilia;4;AFS;Inga_ver;3;0;Aug
cecilia;5;AFS;Inga_ver;2;0;Aug
cecilia;6;AFS;Inga_ver;2;0;Aug
cecilia_g;1;AFS;Inga_ver;1;0;Aug
cecilia_g;2;AFS;Inga_ver;4;0;Aug
cecilia_g;3;AFS;Inga_ver;3;0;Aug
joao;1;AFS;Luehea_div;1;0;Aug
joao;2;AFS;Luehea_div;2;0;Aug
poco_13;3;RES;Luehea_div;1;0;Aug
poco_13;4;RES;Luehea_div;2;0;Aug
ataliba;1;AFS;Mangifera_ind;3;1;Aug
ataliba;2;AFS;Mangifera_ind;2;1;Aug
ataliba;4;AFS;Mangifera_ind;1;1;Aug
neinha;1;AFS;Mangifera_ind;1;1;Aug
neinha;2;AFS;Miconia_pra;6;1;Aug
neinha;3;AFS;Miconia_pra;6;1;Aug
neinha;4;AFS;Miconia_pra;4;1;Aug
angela;1;AFS;Musa_par;3;1;Aug
angela;2;AFS;Musa_par;4;1;Aug
angela;4;AFS;Musa_par;6;1;Aug
ataliba;1;AFS;Musa_par;1;1;Aug
ataliba;3;AFS;Musa_par;4;1;Aug
cecilia;1;AFS;Musa_par;1;1;Aug
cecilia;2;AFS;Musa_par;4;1;Aug
cecilia;3;AFS;Musa_par;3;1;Aug
cecilia;4;AFS;Musa_par;4;1;Aug
cecilia;5;AFS;Musa_par;3;1;Aug
cecilia;6;AFS;Musa_par;8;1;Aug
cecilia_g;1;AFS;Musa_par;3;1;Aug
cecilia_g;3;AFS;Musa_par;3;1;Aug
cecilia_g;4;AFS;Musa_par;1;1;Aug
graca;2;AFS;Musa_par;2;1;Aug
graca;3;AFS;Musa_par;2;1;Aug
bom_retiro;1;RES;Myrciaria_ten;1;0;Aug
bom_retiro;2;RES;Myrciaria_ten;2;0;Aug
bom_retiro;3;RES;Myrciaria_ten;1;0;Aug
bom_retiro;4;RES;Myrciaria_ten;1;0;Aug
bom_retiro;1;RES;Ocotea_lax ;8;1;Aug
poco_12;2;RES;Ocotea_mac;1;0;Aug
poco_12;3;RES;Ocotea_mac;1;0;Aug
poco_12;4;RES;Ocotea_mac;2;0;Aug
gaucho;1;AFS;Persea_ame;5;1;Aug
gaucho;2;AFS;Persea_ame;8;1;Aug
b_esperanca;1;RES;Piptadenia_gon;2;0;Aug
gaucho;1;AFS;Piptadenia_gon;5;0;Aug
gaucho;2;AFS;Piptadenia_gon;7;0;Aug
gaucho;3;AFS;Piptadenia_gon;12;0;Aug
gaucho;4;AFS;Piptadenia_gon;9;0;Aug
mico;2;RES;Piptadenia_gon;1;0;Aug
são_joao;1;RES;Piptadenia_mac;2;0;Aug
bom_retiro;2;RES;Piptadenia_pan;5;0;Aug
bom_retiro;3;RES;Piptadenia_pan;3;0;Aug
bom_retiro;4;RES;Piptadenia_pan;3;0;Aug
b_esperanca;1;RES;Plathymenia_fol;1;0;Aug
b_esperanca;2;RES;Plathymenia_fol;1;0;Aug
poco_13;4;RES;Plathymenia_fol;1;0;Aug
cecilia_g;1;AFS;Psidium_gua;4;0;Aug
cecilia_g;2;AFS;Psidium_gua;3;0;Aug
cecilia_g;3;AFS;Psidium_gua;4;0;Aug
graca;1;AFS;Psidium_gua;2;0;Aug
graca;4;AFS;Psidium_gua;1;0;Aug
ataliba;2;AFS;Rapanea_fer;2;0;Aug
ataliba;4;AFS;Rapanea_fer;2;0;Aug
b_esperanca;1;RES;Rapanea_fer;3;0;Aug
b_esperanca;2;RES;Rapanea_fer;7;0;Aug
b_esperanca;3;RES;Rapanea_fer;4;0;Aug
b_esperanca;4;RES;Rapanea_fer;6;0;Aug
joao;1;AFS;Rapanea_fer;2;0;Aug
joao;2;AFS;Rapanea_fer;1;0;Aug
joao;3;AFS;Rapanea_fer;1;0;Aug
joao;4;AFS;Rapanea_fer;5;0;Aug
neinha;1;AFS;Rapanea_fer;1;0;Aug
neinha;2;AFS;Rapanea_fer;1;0;Aug
neinha;3;AFS;Rapanea_fer;1;0;Aug
neinha;4;AFS;Rapanea_fer;5;0;Aug
poco_16;3;RES;Rapanea_fer;4;0;Aug
poco_16;4;RES;Rapanea_fer;9;0;Aug
mico;1;RES;Schinus_ter;3;0;Aug
mico;2;RES;Schinus_ter;3;0;Aug
mico;4;RES;Schinus_ter;2;0;Aug
poco_13;3;RES;Schinus_ter;2;0;Aug
poco_13;4;RES;Schinus_ter;2;0;Aug
poco_16;1;RES;Schinus_ter;4;0;Aug
vendaval;3;RES;Schinus_ter;5;0;Aug
vendaval;4;RES;Schinus_ter;2;0;Aug
neinha;1;AFS;Sparattosperma_leu;1;0;Aug
neinha;3;AFS;Sparattosperma_leu;1;0;Aug
neinha;4;AFS;Sparattosperma_leu;1;0;Aug
são_joao;1;RES;Tecoma_sta;3;1;Aug
graca;1;AFS;Theobroma_cac;2;0;Aug
graca;2;AFS;Theobroma_cac;5;0;Aug
graca;3;AFS;Theobroma_cac;1;0;Aug
cecilia;1;AFS;Tibouchina_gra;1;1;Aug
cecilia;5;AFS;Tibouchina_gra;1;1;Aug
graca;1;AFS;Vachellia_far;1;1;Aug
graca;2;AFS;Vachellia_far;1;1;Aug
graca;3;AFS;Vachellia_far;2;1;Aug
graca;4;AFS;Vachellia_far;3;1;Aug
mico;1;RES;Vitex_meg;7;0;Aug
mico;2;RES;Vitex_meg;4;0;Aug
mico;3;RES;Vitex_meg;2;0;Aug
mico;4;RES;Vitex_meg;1;0;Aug
poco_12;2;RES;Vitex_meg;1;0;Aug
poco_13;3;RES;Vitex_meg;1;0;Aug
poco_13;4;RES;Vitex_meg;3;0;Aug
graca;4;AFS;Vochysia_div;3;1;Aug
poco_16;2;RES;Vochysia_div;5;1;Aug
angela;1;AFS;Annona_muc;9;0;Dec
angela;4;AFS;Annona_muc;1;0;Dec
gaucho;1;AFS;Annona_muc;4;0;Dec
gaucho;3;AFS;Annona_muc;1;0;Dec
ataliba;1;AFS;Artocarpus_het;1;1;Dec
ataliba;2;AFS;Artocarpus_het;2;1;Dec
ataliba;3;AFS;Artocarpus_het;3;1;Dec
ataliba;4;AFS;Artocarpus_het;2;1;Dec
cecilia_g;1;AFS;Artocarpus_het;1;1;Dec
cecilia_g;3;AFS;Artocarpus_het;1;1;Dec
angela;1;AFS;Bactris_gas;9;1;Dec
angela;2;AFS;Bactris_gas;9;1;Dec
angela;3;AFS;Bactris_gas;5;1;Dec
angela;4;AFS;Bactris_gas;2;1;Dec
ataliba;1;AFS;Bactris_gas;4;1;Dec
ataliba;3;AFS;Bactris_gas;1;1;Dec
ataliba;4;AFS;Bactris_gas;3;1;Dec
cecilia_g;2;AFS;Bactris_gas;2;1;Dec
cecilia_g;3;AFS;Bactris_gas;1;1;Dec
cecilia_g;4;AFS;Bactris_gas;2;1;Dec
joao;1;AFS;Bactris_gas;3;1;Dec
joao;2;AFS;Bactris_gas;7;1;Dec
joao;3;AFS;Bactris_gas;8;1;Dec
joao;4;AFS;Bactris_gas;2;1;Dec
neinha;1;AFS;Bactris_gas;3;1;Dec
neinha;2;AFS;Bactris_gas;1;1;Dec
neinha;3;AFS;Bactris_gas;12;1;Dec
neinha;4;AFS;Bactris_gas;3;1;Dec
joao;1;AFS;Cecropia_hol;2;0;Dec
joao;3;AFS;Cecropia_hol;1;0;Dec
joao;4;AFS;Cecropia_hol;1;0;Dec
neinha;3;AFS;Cecropia_hol;1;0;Dec
neinha;4;AFS;Cecropia_hol;2;0;Dec
são_joao;2;RES;Ceiba_spe;1;0;Dec
cecilia;1;AFS;Citrus_ret;3;0;Dec
cecilia;2;AFS;Citrus_ret;5;0;Dec
cecilia;3;AFS;Citrus_ret;7;0;Dec
cecilia;1;AFS;Citrus_sin;6;0;Dec
cecilia;4;AFS;Citrus_sin;5;0;Dec
são_joao;3;RES;Clitoria_fai;1;1;Dec
neinha;1;AFS;Cocos_nuc;1;0;Dec
neinha;2;AFS;Cocos_nuc;2;0;Dec
joao;1;AFS;Cupania_ver;3;0;Dec
joao;2;AFS;Cupania_ver;2;0;Dec
joao;3;AFS;Cupania_ver;2;0;Dec
joao;4;AFS;Cupania_ver;2;0;Dec
neinha;3;AFS;Cupania_ver;2;0;Dec
neinha;4;AFS;Cupania_ver;2;0;Dec
ataliba;1;AFS;Euterpe_edu;1;1;Dec
ataliba;2;AFS;Euterpe_edu;4;1;Dec
ataliba;3;AFS;Euterpe_edu;1;1;Dec
ataliba;2;AFS;guarea_gui;4;1;Dec
ataliba;3;AFS;guarea_gui;1;1;Dec
ataliba;4;AFS;guarea_gui;1;1;Dec
poco_12;1;RES;guarea_gui;7;1;Dec
poco_12;2;RES;guarea_gui;3;1;Dec
poco_12;3;RES;guarea_gui;6;1;Dec
poco_12;4;RES;guarea_gui;7;1;Dec
vendaval;4;RES;guarea_gui;3;1;Dec
angela;1;AFS;Inga_edu;7;0;Dec
angela;2;AFS;Inga_edu;5;0;Dec
angela;3;AFS;Inga_edu;1;0;Dec
angela;4;AFS;Inga_edu;1;0;Dec
cecilia;1;AFS;Inga_edu;5;0;Dec
cecilia;2;AFS;Inga_edu;4;0;Dec
cecilia;3;AFS;Inga_edu;2;0;Dec
cecilia;4;AFS;Inga_edu;4;0;Dec
cecilia;5;AFS;Inga_edu;3;0;Dec
cecilia;6;AFS;Inga_edu;4;0;Dec
mico;2;RES;Inga_edu;2;0;Dec
mico;4;RES;Inga_edu;1;0;Dec
vendaval;1;RES;Inga_edu;1;0;Dec
vendaval;2;RES;Inga_edu;4;0;Dec
vendaval;3;RES;Inga_edu;1;0;Dec
vendaval;4;RES;Inga_edu;1;0;Dec
ataliba;1;AFS;Inga_lau;2;0;Dec
ataliba;2;AFS;Inga_lau;1;0;Dec
ataliba;3;AFS;Inga_lau;1;0;Dec
ataliba;4;AFS;Inga_lau;1;0;Dec
cecilia;3;AFS;Inga_lau;3;0;Dec
cecilia;4;AFS;Inga_lau;1;0;Dec
cecilia;5;AFS;Inga_lau;1;0;Dec
gaucho;2;AFS;Inga_lau;1;0;Dec
gaucho;3;AFS;Inga_lau;1;0;Dec
gaucho;4;AFS;Inga_lau;5;0;Dec
graca;4;AFS;Inga_lau;1;0;Dec
vendaval;1;RES;Inga_lau;2;0;Dec
vendaval;2;RES;Inga_lau;4;0;Dec
vendaval;3;RES;Inga_lau;2;0;Dec
vendaval;4;RES;Inga_lau;1;0;Dec
cecilia;1;AFS;Inga_ver;4;1;Dec
cecilia;2;AFS;Inga_ver;2;1;Dec
cecilia;3;AFS;Inga_ver;3;1;Dec
cecilia;4;AFS;Inga_ver;3;1;Dec
cecilia;5;AFS;Inga_ver;2;1;Dec
cecilia;6;AFS;Inga_ver;2;1;Dec
cecilia_g;1;AFS;Inga_ver;1;1;Dec
cecilia_g;2;AFS;Inga_ver;4;1;Dec
cecilia_g;3;AFS;Inga_ver;3;1;Dec
joao;1;AFS;Luehea_div;1;0;Dec
joao;2;AFS;Luehea_div;2;0;Dec
poco_13;3;RES;Luehea_div;1;0;Dec
poco_13;4;RES;Luehea_div;2;0;Dec
ataliba;1;AFS;Mangifera_ind;3;0;Dec
ataliba;2;AFS;Mangifera_ind;2;0;Dec
ataliba;4;AFS;Mangifera_ind;1;0;Dec
neinha;1;AFS;Mangifera_ind;1;0;Dec
neinha;2;AFS;Miconia_pra;6;1;Dec
neinha;3;AFS;Miconia_pra;6;1;Dec
neinha;4;AFS;Miconia_pra;4;1;Dec
angela;1;AFS;Musa_par;3;1;Dec
angela;2;AFS;Musa_par;4;1;Dec
angela;4;AFS;Musa_par;6;1;Dec
ataliba;1;AFS;Musa_par;1;1;Dec
ataliba;3;AFS;Musa_par;4;1;Dec
cecilia;1;AFS;Musa_par;1;1;Dec
cecilia;2;AFS;Musa_par;4;1;Dec
cecilia;3;AFS;Musa_par;3;1;Dec
cecilia;4;AFS;Musa_par;4;1;Dec
cecilia;5;AFS;Musa_par;3;1;Dec
cecilia;6;AFS;Musa_par;8;1;Dec
cecilia_g;1;AFS;Musa_par;3;1;Dec
cecilia_g;3;AFS;Musa_par;3;1;Dec
cecilia_g;4;AFS;Musa_par;1;1;Dec
graca;2;AFS;Musa_par;2;1;Dec
graca;3;AFS;Musa_par;2;1;Dec
bom_retiro;1;RES;Myrciaria_ten;1;1;Dec
bom_retiro;2;RES;Myrciaria_ten;2;1;Dec
bom_retiro;3;RES;Myrciaria_ten;1;1;Dec
bom_retiro;4;RES;Myrciaria_ten;1;1;Dec
bom_retiro;1;RES;Ocotea_lax ;8;0;Dec
